Model,Test,Few(n),n,Prompt,r,ex_selector,s,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
bloom-560m,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.62,1.64,31.49,71.36,34.83,5.84,8.53,9.54,9.06,19.79,17.45,18.6,98.74,104.93,32.47,15.57,86.81,99.02,21.25,49.77,1.31,1.5,0.52,0.0,0.55,0.52,8.8
t5-base-lm-adapt,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,6.57,1.7,43.06,61.81,35.52,8.93,-3.64,22.21,8.9,8.24,39.76,23.3,54.14,44.86,10.31,11.5,69.67,86.45,19.64,58.28,3.87,3.3,0.42,0.0,0.74,0.15,9.01
t5-small-lm-adapt,asset-test,asset-valid,3,p0,1,random,95829907.66666667,9.22,2.47,35.1,62.34,33.3,6.37,-1.81,22.43,8.86,-3.87,13.39,4.54,70.54,94.09,13.64,15.05,67.77,83.2,24.98,65.83,3.19,4.22,0.37,0.0,0.81,0.24,8.5
opt-6.7b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,3.53,1.75,28.63,73.82,34.73,7.02,7.03,10.73,8.86,18.66,17.77,18.17,68.23,143.82,47.72,15.96,82.45,96.6,10.24,23.67,2.78,3.48,0.46,0.04,0.62,0.33,9.16
bloomz-560m,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.6,1.8,31.8,72.08,35.23,5.94,8.1,9.4,8.76,18.92,17.03,17.96,96.86,86.47,28.6,15.53,85.78,98.03,20.81,48.51,1.4,1.53,0.51,0.01,0.56,0.51,8.79
opt-13b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,3.77,1.9,30.05,72.12,34.69,6.96,5.51,11.98,8.73,18.08,19.64,18.83,63.2,165.07,47.16,15.91,81.0,96.39,9.71,23.13,3.0,3.75,0.47,0.05,0.63,0.27,9.12
opt-1.3b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.75,1.95,32.05,72.37,35.46,5.6,7.82,9.3,8.57,18.51,16.51,17.49,88.92,67.41,33.86,15.46,85.88,98.91,21.01,49.69,1.37,1.6,0.5,0.0,0.56,0.51,8.79
bloomz-3b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.49,1.49,33.04,72.53,35.68,7.17,5.91,11.22,8.56,19.26,19.59,19.41,114.99,817.43,44.79,15.69,82.62,96.72,9.68,20.91,2.95,3.53,0.48,0.08,0.59,0.3,9.15
bloom-1b1,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.44,1.86,31.88,73.45,35.73,6.01,7.67,8.93,8.33,17.15,14.81,15.97,93.48,81.97,33.47,15.37,86.18,99.02,21.47,51.09,1.34,1.58,0.5,0.0,0.57,0.53,8.78
opt-1.3b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,6.03,1.71,25.34,72.28,33.11,5.9,6.98,5.94,6.46,18.25,13.18,15.65,83.45,70.32,35.54,17.66,85.91,98.7,20.88,49.85,1.44,1.61,0.48,0.1,0.56,0.54,8.8
bloomz-1b1,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.02,1.49,31.08,74.39,35.65,6.99,4.75,8.07,6.4,15.83,14.04,14.9,140.22,1032.93,43.69,16.74,83.6,96.43,8.97,19.09,2.87,3.52,0.45,0.08,0.6,0.36,9.12
bloom-3b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,3.65,1.73,31.8,72.89,35.48,7.4,0.96,11.03,5.94,11.44,18.14,14.72,61.88,171.98,42.21,15.07,78.65,95.54,11.44,28.0,3.41,3.94,0.44,0.04,0.69,0.26,9.17
bloom-1b1,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,5.63,1.96,27.86,74.73,34.85,6.8,4.38,6.39,5.37,11.92,10.91,11.33,85.45,165.03,33.27,16.77,83.99,98.09,21.76,55.69,1.72,1.93,0.44,0.06,0.62,0.51,8.82
t5-small-lm-adapt,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,5.61,1.5,31.15,58.98,30.54,6.33,-3.46,14.37,4.85,-4.52,10.39,2.83,59.33,44.56,16.85,16.35,73.18,90.86,21.55,65.58,3.64,4.14,0.35,0.01,0.83,0.26,8.42
t5-small-lm-adapt,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,4.89,1.54,28.86,59.59,30.0,6.0,-4.15,13.05,3.85,-5.38,8.72,1.58,60.51,41.42,15.48,15.62,73.42,91.11,21.86,66.78,3.64,4.29,0.34,0.0,0.83,0.26,8.43
opt-1.3b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,3.28,1.51,28.6,71.9,34.0,7.17,-0.17,7.84,3.82,11.46,15.19,13.29,63.64,140.88,43.64,14.65,80.25,96.0,10.04,23.3,3.28,3.9,0.44,0.11,0.66,0.28,9.19
t0,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,6.83,1.4,27.29,72.96,33.88,9.53,3.7,3.02,3.28,14.87,8.91,11.75,1931.55,16073.71,29.15,22.64,87.6,93.75,27.94,67.65,1.34,1.23,0.44,0.03,0.46,0.57,8.99
t5-small-lm-adapt,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,6.23,1.44,33.96,58.21,31.2,5.86,-6.86,14.65,3.26,-7.41,11.28,1.78,52.98,37.85,5.72,8.21,65.69,82.14,16.32,51.92,3.73,3.85,0.34,0.0,0.85,0.23,8.59
bloom-1b1,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,3.17,1.66,31.01,74.9,35.86,7.37,-3.88,7.25,1.63,3.63,11.84,7.63,59.39,155.0,40.47,15.44,78.19,95.46,11.88,30.29,3.65,4.16,0.4,0.05,0.73,0.27,9.17
bloomz-560m,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,3.72,1.73,19.68,77.63,33.02,5.32,3.32,-0.78,1.31,6.81,-1.49,2.65,87.41,73.05,33.37,18.19,88.39,99.17,20.2,47.19,1.17,1.48,0.41,0.03,0.63,0.66,8.77
bloom-560m,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,4.13,1.88,25.83,77.12,34.94,6.87,-1.02,2.93,0.93,3.94,4.95,4.38,72.94,49.99,29.18,15.23,82.43,97.01,21.82,56.25,1.98,2.26,0.41,0.04,0.69,0.52,8.83
t0pp,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,4.85,1.47,29.15,73.11,34.58,10.94,-3.71,4.33,0.26,4.5,9.41,6.88,313.97,2723.37,22.77,19.8,78.12,90.14,18.75,48.3,2.26,1.65,0.43,0.02,0.67,0.42,9.09
t5-base-lm-adapt,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,2.4,1.8,27.16,75.13,34.7,8.47,-8.87,7.25,-0.92,-4.53,11.49,3.27,141.86,1790.31,16.41,12.6,69.57,87.56,22.0,65.64,3.96,3.95,0.34,0.0,0.84,0.25,9.04
t5-base-lm-adapt,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,2.56,1.82,27.91,75.74,35.16,8.26,-9.04,6.94,-1.17,-4.98,10.08,2.35,143.25,1782.01,16.54,12.62,69.49,87.05,21.84,64.8,3.82,3.92,0.34,0.0,0.83,0.26,9.02
bloom-560m,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,2.39,1.62,27.78,76.71,35.37,7.58,-8.66,3.56,-2.6,-3.5,5.63,1.0,53.87,92.31,36.27,15.98,77.41,95.38,12.57,32.75,3.96,4.34,0.37,0.05,0.78,0.27,9.19
bloomz-560m,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,2.02,1.43,20.52,77.48,33.14,6.83,-4.73,-1.44,-3.08,-0.56,-1.5,-1.03,175.96,1424.37,38.32,17.93,83.46,96.45,9.0,19.01,2.98,3.61,0.37,0.04,0.69,0.44,9.08
t5-small-lm-adapt,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,2.47,1.67,27.18,75.28,34.71,8.87,-11.7,3.58,-4.15,-8.23,5.35,-1.56,66.8,60.34,12.68,12.24,74.19,93.4,22.28,67.26,3.93,3.69,0.34,0.0,0.84,0.26,9.09
t5-small-lm-adapt,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,2.17,1.67,25.2,75.94,34.27,8.59,-11.43,2.92,-4.33,-8.38,4.08,-2.27,66.21,53.72,13.08,12.54,74.26,93.09,22.13,67.43,3.83,3.78,0.33,0.0,0.84,0.27,9.04
t5-small-lm-adapt,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,2.46,1.56,27.44,73.8,34.27,8.57,-14.42,3.18,-5.72,-9.48,6.82,-1.45,59.58,43.24,4.22,5.56,65.79,82.36,17.55,53.57,3.98,3.38,0.34,0.0,0.85,0.23,9.04
